GPA,ExperienceYears,SkillsCount,HasGitHub,CertificationsCount,ProjectsCount,HasInternship,EnglishLevel,IsAccepted
0.0,1,21,0,0,2,0,1,True
0.0,1,10,0,0,2,0,1,True
0.0,1,14,0,0,2,0,1,False
0.0,5,36,0,0,7,0,1,True
3.84,4,32,0,0,6,0,1,False
0.0,3,17,0,0,4,0,1,True
0.0,1,6,0,0,1,1,1,False
2.5,3,52,0,0,4,0,1,False
0.0,1,18,0,0,2,0,1,False
0.0,1,17,0,0,2,0,1,False
4.0,3,36,0,0,4,1,1,True
0.0,1,9,0,0,2,0,1,False
0.0,2,7,0,0,1,1,1,False
0.37,1,22,0,10,3,1,1,False
3.6,1,10,0,0,3,1,1,False
0.0,1,13,0,0,2,0,1,True
0.0,4,28,0,0,5,0,1,True
0.0,1,8,0,0,2,1,1,False
0.0,1,16,0,0,2,0,1,False
0.0,3,13,0,0,1,0,1,False
0.0,3,13,0,0,4,0,1,True
0.0,1,11,0,0,2,0,1,False
0.0,6,48,0,0,7,0,1,True
0.0,3,10,0,0,4,0,1,False
0.0,1,15,0,0,2,0,1,True
0.0,4,55,0,0,5,0,1,True
0.0,3,11,0,0,1,1,1,True
3.6,3,113,0,0,4,0,1,True
0.0,1,8,0,0,2,0,1,False
3.83,4,11,0,0,1,1,1,True
0.0,1,12,0,0,2,0,1,True
0.0,1,7,0,1,2,0,1,True
3.1,2,3,0,1,3,0,1,True
0.0,4,35,0,0,5,0,1,False
0.0,3,36,0,0,4,0,1,True
0.0,1,11,0,0,2,0,1,True
0.0,3,41,0,0,4,0,1,False
0.0,2,27,0,0,3,0,1,True
0.0,2,36,0,0,3,0,1,True
3.18,3,9,0,1,4,1,1,True
4.0,2,26,0,0,5,0,1,True
0.0,4,40,0,0,5,0,1,False
0.0,2,0,0,0,3,1,1,False
0.0,3,39,0,0,4,0,3,True
0.0,4,13,0,0,5,0,1,False
0.0,5,26,0,0,2,0,1,True
0.0,2,3,0,0,3,0,1,True
3.8,3,9,0,0,4,0,1,True
0.0,1,10,0,0,2,1,1,False
